,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
0,flat,shapoorji pallonji joyville gurugram,sector 102,1.75,9449.0,3,3,3,10.0,Moderately Old,1465.0,1,1,0,1,1,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
1,flat,godrej aria,sector 79,1.7,7427.0,3,4,3+,6.0,New Property,1659.0,0,1,0,0,0,0,81,"28.3624° N, 76.9787° E",28.3624,76.9787
2,flat,alpha corp gurgaonone,sector 84,1.15,7497.0,2,2,3,8.0,Moderately Old,1361.0,1,0,0,0,0,1,37,"28.3979° N, 76.9736° E",28.3979,76.9736
3,flat,orris carnation residency,sector 85,0.55,5789.0,2,2,2,5.0,Moderately Old,1050.0,0,0,0,0,1,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
4,flat,umang winter hills,sector 77,0.86,6408.0,2,2,2,16.0,New Property,1214.0,0,0,0,0,0,1,79,"28.3801° N, 76.9845° E",28.3801,76.9845
5,flat,ats triumph,sector 104,2.0,8734.0,3,4,3+,4.0,Moderately Old,2072.0,0,1,0,0,0,0,60,"28.4788° N, 76.9960° E",28.4788,76.996
6,flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Moderately Old,1765.0,0,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
7,flat,indiabulls enigma,sector 110,3.25,9559.0,4,4,3,11.0,Moderately Old,3077.0,0,1,0,0,1,0,125,"28.5145° N, 77.0197° E",28.5145,77.0197
8,flat,rof ananda,sector 95,0.37,5745.0,3,2,1,6.0,Moderately Old,716.0,0,0,0,1,0,1,72,"28.4172° N, 76.9081° E",28.4172,76.9081
9,flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Moderately Old,1615.0,0,1,0,0,1,1,174,"28.4079° N, 76.9153° E",28.4079,76.9153
10,flat,sidhartha ncr greens,sector 95,0.6,5576.0,2,2,2,14.0,Moderately Old,974.0,1,0,0,0,0,0,31,"28.4172° N, 76.9081° E",28.4172,76.9081
11,flat,dlf the primus,sector 82a,2.55,11219.0,4,4,3+,14.0,Moderately Old,1773.0,0,0,0,0,0,2,44,"28.3858° N, 76.9686° E",28.3858,76.9686
12,flat,tulip petals,sector 89,1.55,10000.0,3,2,3,6.0,Moderately Old,1403.0,0,0,1,0,0,1,111,"28.4253° N, 76.9439° E",28.4253,76.9439
13,flat,bptp terra,sector 37d,1.65,7531.0,4,3,3+,6.0,Moderately Old,2091.0,0,0,0,0,0,1,149,"28.4478° N, 76.9703° E",28.4478,76.9703
14,house,independent,sector 7,2.25,15625.0,3,3,2,2.0,Old Property,1440.0,0,0,0,0,0,1,27,"28.4644° N, 77.0143° E",28.4644,77.0143
15,flat,orris carnation residency,sector 85,0.8,4857.0,3,4,3,4.0,Moderately Old,1390.0,0,1,0,0,0,1,40,"28.4042° N, 76.9513° E",28.4042,76.9513
16,house,ansals palam vihar,sector 2,2.75,17662.0,3,3,3,2.0,Old Property,1557.0,1,0,0,1,0,1,15,"28.5095° N, 77.0320° E",28.5095,77.032
17,house,vipul tatvam villa,sector 48,7.69,24069.0,4,5,3,2.0,Old Property,3195.0,1,1,1,1,0,1,110,"28.4177° N, 77.0359° E",28.4177,77.0359
18,flat,godrej nature plus,sector 33,1.3,8349.0,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38,"28.4420° N, 77.0207° E",28.442,77.0207
